Validator,Assembly,Target,Severity,Description,Remediation
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Get-AzureRmEnvironment","3","The output type Microsoft.Azure.Commands.Models.PSAzureEnvironment for cmdlet Get-AzureRmEnvironment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmEnvironment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Remove-AzureRmEnvironment","3","The output type Microsoft.Azure.Commands.Models.PSAzureEnvironment for cmdlet Remove-AzureRmEnvironment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmEnvironment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Set-AzureRmEnvironment","3","The output type Microsoft.Azure.Commands.Models.PSAzureEnvironment for cmdlet Set-AzureRmEnvironment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmEnvironment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Save-AzureRmProfile","3","The output type Microsoft.Azure.Commands.Models.PSAzureProfile for cmdlet Save-AzureRmProfile has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Save-AzureRmProfile"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Select-AzureRmProfile","3","The output type Microsoft.Azure.Commands.Models.PSAzureProfile for cmdlet Select-AzureRmProfile has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Select-AzureRmProfile"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Get-AzureRmSubscription","3","The output type Microsoft.Azure.Commands.Models.PSAzureSubscription for cmdlet Get-AzureRmSubscription has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmSubscription"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Get-AzureRmTenant","3","The output type Microsoft.Azure.Commands.Models.PSAzureTenant for cmdlet Get-AzureRmTenant has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmTenant"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
